Years,Deaths,Road_user
2013,556,Driver
2014,532,Driver
2015,555,Driver
2016,623,Driver
2017,566,Driver
2018,519,Driver
2019,569,Driver
2020,534,Driver
2021,530,Driver
2022,555,Driver
2013,204,Passenger
2014,228,Passenger
2015,252,Passenger
2016,209,Passenger
2017,235,Passenger
2018,205,Passenger
2019,205,Passenger
2020,192,Passenger
2021,182,Passenger
2022,182,Passenger
2013,158,Pedestrian
2014,151,Pedestrian
2015,160,Pedestrian
2016,182,Pedestrian
2017,162,Pedestrian
2018,178,Pedestrian
2019,158,Pedestrian
2020,138,Pedestrian
2021,133,Pedestrian
2022,164,Pedestrian
2013,213,Motorcyclista
2014,191,Motorcyclista
2015,205,Motorcyclista
2016,249,Motorcyclista
2017,211,Motorcyclista
2018,191,Motorcyclista
2019,212,Motorcyclista
2020,187,Motorcyclista
2021,237,Motorcyclista
2022,244,Motorcyclista
2013,50,Pedal cyclista
2014,45,Pedal cyclista
2015,31,Pedal cyclista
2016,29,Pedal cyclista
2017,39,Pedal cyclista
2018,35,Pedal cyclista
2019,39,Pedal cyclista
2020,41,Pedal cyclista
2021,41,Pedal cyclista
2022,35,Pedal cyclista
